child_name,child_domain,parent_name,parent_domain,verified,evidence,verification_method,date_added
Vá de Táxi,vadetaxi.com.br,Porto Seguro S.A.,portoseguro.com.br,Yes,"Vá de Táxi is listed as one of the ~27 companies of Grupo Porto Seguro on Porto Seguro's official 'Empresas do Grupo' page, and was created as an exclusive service for Porto Seguro policyholders.",LLM+web search,2026-05-15 16:07
vadiMAP,vadimap.com,vadimUS conseils inc.,vadimap.com,Yes,"vadiMAP is described as a division/brand of vadimUS Conseils Inc, both operating on the same vadimap.com domain.",LLM+web search,2026-05-15 16:06
Vadis Technologies - A Moody's Company,vadis.com,"Moody's Corporation - Vadis Technologies, Vadis Media Inc.",moodys.com,Yes,"Moody's acquired Vadis Technologies, with the deal closing June 18, 2024; Vadis now brands itself ""A Moody's Company.""",LLM+web search,2026-05-15 16:15
,valhyde.com,Valhyde Industries.,valhyde.com,Yes,"Child and parent share the identical domain (valhyde.com), indicating Valhyde Industries is the same corporate entity/parent of this listing.",LLM+web search,2026-06-19 09:18
Validaide,validaide.com,SkyCell AG,skycell.ch,Yes,"SkyCell acquired a majority stake in Validaide in December 2024 via a multimillion-dollar investment (Crunchbase, StartupTicker, SkyCell's own blog).",LLM+web search,2026-05-15 16:03
Valify Solutions,valify.me,"HCA Healthcare, Inc.",hcahealthcare.com,Yes,HCA Healthcare Wikipedia confirms acquisition of Valify in January 2020 as healthcare cost-management company.,LLM+web search,2026-05-15 15:54
Valley Bank,valley.com,Valley National Bank,valley.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-19 02:15
Vallor,vallor.ai,"Board AI, Inc.",vallor.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:25
Vally,vally-dz.com,GP Algérie,vally-dz.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-10-08 16:30
Valon,valon.ai,"Carrington Mortgage Services, LLC.",carringtonmortgage.com,Yes,"Carrington is acquiring Valon Mortgage in a transaction expected to close Q3 2026, gaining majority ownership.",LLM+web search (optimized),2026-03-27 10:26
Valtech,valtech.com,BC Partners,bcpartners.com,Yes,"BC Partners, a private equity firm, acquired a majority stake in Valtech in 2018.",LLM+web search,2026-07-01 17:56
Van Cleef & Arpels,vancleefarpels.com,Richemont Group S.A.,richemont.com,Yes,"Richemont owns 100% of Van Cleef & Arpels through phased acquisitions (60% in 1999, 80% in 2001, 100% by 2003).",LLM+web search (optimized),2025-12-11 11:16
Vanguard,vanguard.com,The Vanguard Group Inc.,vanguard.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-06-30 12:56
Vanguard Software,vanguardsoftware.com.sg,Wolters Kluwer N.V.,wolterskluwer.com,Yes,"Wolters Kluwer Tax & Accounting acquired Vanguard Software for approximately $110 million in May 2021, making it a subsidiary of Wolters Kluwer.",LLM+web search,2026-05-15 15:54
,vardenai.com,SS&C Technologies Holdings,ssctech.com,Yes,"SS&C Technologies acquired Varden Technologies on September 2, 2015 for approximately $25.3 million; vardenai.com domain likely associated with this acquisition.",LLM+web search (optimized),2026-03-01 08:34
Varsity Brands,varsitybrands.com,Kohlberg Kravis Roberts (KKR),kkr.com,Yes,KKR acquired Varsity Brands for approximately $4.75 billion in August 2024; wholly owned subsidiary.,LLM+web search (optimized),2025-10-02 22:46
Varsity Hype,varsityhype.com,KKR & Co. Inc.,kkr.com,Yes,KKR completed acquisition of Varsity Brands (Varsity Hype) in August 2024 for ~$4.75 billion; new majority owner.,LLM+web search (optimized),2026-03-23 09:24
Vartana,vartana.com,"Capchase, Inc.",capchase.com,Yes,Capchase acquired Vartana in 2025 as stated on Vartana website.,LLM+web search (optimized),2026-03-01 08:33
,vasion.com,PrinterLogic Inc.,vasion.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:37
nuon,vattenfall.com,Swedish state (Vattenfall AB),vattenfall.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 12:57
Vault Wealth Ltd,vaultwealth.com,Vault Wealth Holdings Limited,vaultwealth.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-02-24 15:20
VBATECHS,vbatechs.com,"VBA Technology Co., Ltd.",vbatechs.com,Yes,"Parent and child share the same domain (vbatechs.com) - VBA Technology Co., Ltd. is the legal entity operating VBATECHS.",LLM+web search,2026-05-15 16:00
Visionary Broadband,vcn.com,GTCR LLC.,gtcr.com,Yes,GTCR owns 67% ownership interest in Visionary Broadband as strategic investment.,LLM+web search (optimized),2026-02-24 22:48
VCTI,vcti.io,"Velankani Communications Technologies, Inc.",vcti.io,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-01-23 15:11
"Datadog, Inc.",vector.dev,"Datadog, Inc.",datadoghq.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2026-03-23 09:24
Vectorious Medical Technologies,vectoriousmedtech.com,Edwards Lifesciences Corp.,edwards.com,Yes,Edwards Lifesciences completed full acquisition of Vectorious Medical Technologies in September 2025.,LLM+web search (optimized),2026-05-15 15:45
Veeam Software,veeam.com,Insight Partners,insightpartners.com,Yes,Insight Partners acquired and owns Veeam Software since 2020; remains majority owner as of 2024.,LLM+web search (optimized),2026-04-09 20:49
Veevart,veevart.com,Hexa,hexa.com,Yes,Startup studio Hexa acquired a majority stake in Veevart in March 2025 with a €5 million investment.,LLM+web search,2026-05-15 15:48
Velmie,velmie.com,Rolinus UAB,velmie.com,Yes,Velmie operates under the legal entity Rolinus UAB; same company with business/product name versus legal name.,LLM+web search,2026-05-15 15:54
Velocidi,velocidi.com,"Kevel, Inc.",kevel.com,Yes,"Velocidi rebranded as Kevel Audience; owned by Kevel, Inc.",LLM+web search (optimized),2026-04-14 05:16
Venda,venda.com,Oracle Corporation,oracle.com,Yes,Venda acquired by NetSuite in July 2014 for $48.5 million; NetSuite subsequently owned by Oracle.,LLM+web search (optimized),2025-08-25 12:41
VendTech Technology,vendtech.com,VendTech Holdings Inc.,vendtech.com,Yes,"VendTech Technology is a brand of Vend Tech International (same vendtech.com site), and the company's LinkedIn page is named 'vendtech-holdings', indicating VendTech Holdings Inc. is the same corporate family/holding entity.",LLM+web search,2026-05-15 16:18
Venemergencia Group,venemergencia.com,Grupo Venemergencia,venemergencia.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 11:59
Venmo,venmo.com,"PayPal Holdings, Inc.",paypal.com,Yes,Venmo acquired by PayPal in 2013 via Braintree acquisition.,LLM+web search (optimized),2025-09-19 08:32
,verayn.net,Otsuka Medical Devices Group of Companies,omd.otsuka.com,Yes,"Otsuka Medical Devices Co., Ltd. is a fully-owned subsidiary of Otsuka Holdings Co., Ltd., established in 2011.",LLM+web search (optimized),2026-03-23 09:28
Verbit.ai,verbit.ai,"VITAC, a subsidiary of Verbit.",verbit.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:28
Verbrio B.V.,verbrio.com,Verbrio B.V.,verbrio.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:25
Vercara,vercara.com,DigiCert Inc.,digicert.com,Yes,DigiCert announced and completed its acquisition of Vercara from Golden Gate Capital/GIC in September 2024.,LLM+web search,2026-05-15 15:56
Verdantis,verdantis.com,Sterling Investment Partners,sterlinglp.com,Yes,"Sterling Investment Partners acquired Verdantas on May 7, 2024, giving Sterling complete ownership.",LLM+web search,2026-05-15 15:52
VCI (VeriCheck ACH),vericheck.com,"Commercial Bank of California, a subsidiary of California Bank Holdings, Inc.",cbcal.com,Yes,VeriCheck Inc. (VCI) is explicitly described as a wholly owned subsidiary of Commercial Bank of California.,LLM+web search,2026-05-15 16:00
Verifone,verifone.com,"Francisco Partners, LLC.",franciscopartners.com,Yes,Francisco Partners acquired Verifone in April 2018 for $3.4B; confirmed by Wikipedia.,LLM+web search (optimized),2026-04-09 20:44
Verisk Specialty Business Solutions,verisksequel.com,"Verisk Analytics, Inc.",verisk.com,Yes,"Verisk Specialty Business Solutions (verisksequel.com) is a named business unit/subsidiary of Verisk Analytics, Inc.",LLM+web search,2026-05-15 16:16
Verizon,verizon.com,Verizon Communications Inc.,verizon.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-18 19:56
Yahoo!,verizonmedia.com,"Apollo Global Management, Inc.",apollo.com,Yes,Verizon Media (verizonmedia.com) is Yahoo's operating brand; Apollo owns 90% of Yahoo.,LLM+web search (optimized),2025-07-25 09:46
VTel,vermontel.com,"Vermont National Telephone Company, Inc.",vermontel.com,Yes,Same domain (vermontel.com) confirms Vermont National Telephone Company is the legal corporate parent of VTel.,LLM+web search,2026-07-05 07:09
Vernon Press,vernonpress.com,Vernon Art and Science Inc.,vernonpress.com,Yes,"Vernon Press is explicitly an imprint of Vernon Art and Science Inc. (its parent publishing corporation), confirmed by firstwriter.com and Vernon Press's own site.",LLM+web search,2026-05-15 16:09
Vero,veroautomation.com,Hexagon AB,hexagon.com,Yes,Vero Software was acquired by Hexagon AB in 2014 and placed in Manufacturing Intelligence division.,LLM+web search (optimized),2026-01-02 15:45
VERSES,verses.ai,"Verses Technologies USA, Inc.",verses.ai,Yes,VERSES Technologies USA Inc. is a directly wholly-owned subsidiary (100% ownership) of VERSES AI Inc.,LLM+web search,2026-05-15 15:51
Verta Technologies,verta.site,"Cloudera, Inc.",cloudera.com,Yes,Cloudera acquired Verta Technologies' Operational AI Platform in June 2024.,LLM+web search (optimized),2026-03-23 09:23
Vertafore,vertafore.com,"Roper Technologies, Inc.",ropertech.com,Yes,Roper Technologies acquired Vertafore for $5.4 billion in 2020 (largest acquisition to date).,LLM+web search (optimized),2025-09-17 16:20
Vertigo Games,vertigogames.co,Embracer Group AB,embracer.com,Yes,Embracer Group AB acquired 100% of Vertigo Games Holding B.V. in September 2020 for EUR 50 million upfront.,LLM+web search,2026-05-15 15:52
Verumex (VmX),verumex.com,Chatham Financial Corp.,cf.com,Yes,"Chatham Financial announced its acquisition of Verumex (VmX) in October 2024, making VmX wholly owned by Chatham Financial.",LLM+web search,2026-05-15 16:05
Vest Exchange,vest.exchange,"Cboe Global Markets, Inc.",cboe.com,Yes,Cboe made a majority investment in Vest Financial in January 2016; Vest Exchange is majority-owned by Cboe.,LLM+web search (optimized),2025-08-05 20:05
Vest,vest.investments,"CBOE Holdings, Inc.",cboe.com,Yes,Vest is majority-owned by Cboe Global Markets through subsidiary Cboe Vest Financial LLC.,LLM+web search (optimized),2026-04-10 15:40
Rakuten Viber,viber.com,Rakuten Group Inc.,rakuten.com,Yes,"Rakuten acquired Viber Media in 2014 and it operates as Rakuten Viber, a wholly-owned unit of Rakuten Group.",LLM+web search,2026-05-15 15:58
Vicarius,vicarius.io,AlleyCorp,alleycorp.com,Yes,Vicarius listed as investment in AlleyCorp's official portfolio companies page.,LLM+web search (optimized),2026-05-15 15:47
Victus Global,victusglobal.com,VICTUS HOLDING LTD (2174544),victusglobal.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 12:02
Vietlink,vietlink.jp,KDDI Agile Development Center Corporation (KAG),kddi.com,Yes,"KDDI Agile Development Center (KAG) acquired Vietlink, bringing it in as a consolidated subsidiary.",LLM+web search,2026-05-15 16:04
Viewrail,viewrail.com,"Iron Baluster, LLC.",viewrail.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:40
Freelance Film Production,vimeo.com,Bending Spoons Inc.,bendingspoons.com,Yes,Bending Spoons acquired Vimeo video platform for $1.38 billion in September 2025.,LLM+web search (optimized),2025-08-03 16:00
Viola Biz,violabiz.com,Viola Business AB,violabiz.com,Yes,"Swedish business registry (allabolag.se) lists 'Viola Business AB' (org.nr 559259-3353) as the registered company operating the website violabiz.com, indicating Viola Business AB is the legal entity behind the Viola Biz brand.",LLM+web search,2026-05-15 16:14
Virginia Mason Franciscan Health,virginiamason.org,CommonSpirit Health,commonspirit.org,Yes,Virginia Mason Franciscan Health merged with CHI Franciscan in 2021 to form entity under CommonSpirit Health as parent.,LLM+web search (optimized),2026-02-23 01:54
Virtues,virtues.com,Combe Inc.,combe.com,Yes,BusinessWire and BeautyMatter confirm Combe Inc. made a majority growth-equity investment in Virtue Labs in 2020 and increased its stake further in 2023.,LLM+web search,2026-06-26 07:58
Visiativ,visiativ.com,Groupe Snef,snef.fr,Yes,"Groupe SNEF acquired a 75.72% majority stake in Alliativ, Visiativ's controlling shareholder, giving it indirect majority control of Visiativ.",LLM+web search,2026-07-11 09:06
Visiting Media,visitingmedia.com,JMI Equity,jmi.com,Yes,JMI Equity made strategic growth investment in Visiting Media in January 2023; confirmed portfolio company.,LLM+web search (optimized),2025-08-27 20:35
VISPIRON GmbH,vispiron.com,VISPIRON AG,vispiron.com,Yes,VISPIRON AG is confirmed as shareholder and parent company of VISPIRON GmbH subsidiary.,LLM+web search,2026-05-15 15:54
Viventium,viventium.com,Viventium HCM LLC,viventium.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:38
"Vivido Natural, LLC",vividonatural.com,"Vivido Natural, LLC",vividonatural.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-23 22:54
Uniwersytet VIZJA w Warszawie,vizja.pl,Fundacja Akademickie Centrum Edukacji i Rozwoju VIZJA,vizja.pl,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-04-09 08:05
vLex,vlex.com,"Clio, Inc.",clio.com,Yes,"Clio, Inc. completed $1 billion acquisition of vLex in November 2025; now wholly-owned Clio subsidiary combining legal OS with vLex's legal intelligence platform.",LLM+web search (optimized),2025-09-18 14:57
VMO Holdings,vmogroup.com,ALTEN Group,alten.com,Yes,VMO Holdings is a subsidiary of ALTEN Group in Vietnam.,LLM+web search (optimized),2026-05-13 22:44
Vocollect México,vocollect.com,Honeywell International Inc.,honeywell.com,Yes,"vocollect.com domain certificate redirects to Honeywell altnames, indicating Honeywell owns the Vocollect brand.",LLM+web search (optimized),2025-07-23 10:49
Vodafone Group Plc,vodafone.com,Vodafone Group Plc.,vodafone.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:40
Vogue,vogue.com,"Condé Nast Publications, LLC.",condenast.com,Yes,Wikipedia confirms: Condé Nast has owned Vogue since 1909.,LLM+web search (optimized),2025-09-18 19:54
Voice AI,voice.ai,"Voice AI, Inc.",voice.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-13 19:47
Voices,voices.com,Morgan Stanley Expansion Capital (majority shareholder) and BDC Capital Corporation (investor),morganstanley.com,Yes,Morgan Stanley Expansion Capital listed as majority shareholder of Voices; $18 million growth investment in 2017.,LLM+web search (optimized),2026-05-15 15:34
VoidZero,voidzero.dev,"Cloudflare, Inc.",cloudflare.com,Yes,"Cloudflare acquired VoidZero on June 4, 2026, bringing Vite JavaScript build tool and core team into Cloudflare.",LLM+web search (optimized),2026-03-05 00:15
Volocopter,volocopter.com,"Wanfeng Auto Holding Group Co., Ltd.",wfjt.com,Yes,"Wanfeng Auto Holding Group acquired the assets/operations of insolvent Volocopter in a ~10 million euro deal in 2025, per multiple aviation trade press reports.",LLM+web search,2026-06-10 06:59
Vonage,vonage.com,Ericsson AB,ericsson.com,Yes,Ericsson completed acquisition of Vonage in July 2022 for $6.2 billion.,LLM+web search (optimized),2026-04-30 07:36
Vorto,vorto.ai,Golden Gate Capital,goldengatecap.com,Yes,"Golden Gate Capital acquired Vorto, an AI-powered supply chain software company.",LLM+web search (optimized),2026-05-15 15:42
Vórtx,vortx.com.br,Vértera Holding S.A.,vortx.com.br,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:36
,voxels.place,Amadeus IT Group S.A.,amadeus.com,Yes,Amadeus IT Group acquired Voxel for $123.2 million.,LLM+web search (optimized),2026-03-23 09:26
VOYAGE GROUP Inc.,voyagegroup.com,"CARTA HOLDINGS Co., Ltd.",cartaholdings.co.jp,Yes,VOYAGE GROUP Inc. and Cyber Communications merged to form CARTA HOLDINGS as a holding company with VOYAGE GROUP as subsidiary.,LLM+web search (optimized),2025-09-29 02:35
Voyager Technologies,voyagertechnologies.com,ZIN Technologies Inc.,voyagertechnologies.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-27 19:05
Voyantic,voyantic.com,"Impinj, Inc.",impinj.com,Yes,Impinj acquired Voyantic for $32.7 million in April 2023 and operates it as a wholly-owned subsidiary.,LLM+web search,2026-05-15 15:53
Vrbo,vrbo.com,Expedia Group Inc.,expediagroup.com,Yes,Expedia Group owns and operates Vrbo as wholly-owned subsidiary.,LLM+web search (optimized),2025-09-24 18:15
VSM · WE KNOW ABRASIVES,vsmabrasives.com,Vereinigte Schmirgel- und Maschinen-Fabriken AG (VSM),vsmabrasives.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 18:34
VSP Ventures,vsp.com,VSP Global Inc.,vsp.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 11:32
ᴠᴡᴏʀᴋᴇʀ sᴏʟᴜᴛɪᴏɴs ɪɴᴅɪᴀ ᴘᴠᴛ. ʟᴛᴅ.,vworker.in,"Freelancer.com, Inc.",freelancer.com,Yes,Freelancer.com (getAFreelancer/Freelancer Technology) acquired vWorker (formerly RentACoder) in November 2012.,LLM+web search,2026-05-15 16:14
Vyond,vyond.com,"GoAnimate, Inc.",vyond.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:39
W3Champions,w3champions.com,Deespul LLC.,w3champions.com,Yes,W3Champions' own site/wiki states the admin team founded Deespul (non-profit LLC) in January 2021 specifically to be the parent company of W3Champions.,LLM+web search,2026-05-27 17:10
Waalaxy,waalaxy.com,Waapi SAS,waalaxy.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-11-19 09:23
Stream,wagestream.com,Stream Group Holdings Ltd.,wagestream.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
,walkerandcobrands.com,Procter & Gamble Co.,pg.com,Yes,walkerandcobrands.com domain associated with Walker & Company Brands acquisition by Procter & Gamble.,LLM+web search (optimized),2025-07-28 11:48
"Walker & Company Brands, Inc.",walkerandcompany.com,Procter & Gamble,pg.com,Yes,Procter & Gamble acquired Walker & Company Brands; operates as wholly-owned subsidiary with Tristan Walker as CEO.,LLM+web search (optimized),2025-07-28 11:48
WalkMe,walkme.com,SAP Ltd.,sap.com,Yes,SAP acquired WalkMe in 2024 for $1.5 billion; acquisition announced June 2024 and completed September 2024.,LLM+web search (optimized),2025-10-08 16:43
Walkover,walkover.in,Walkover Web Solutions Pvt Ltd.,walkover.in,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:38
Walmart Global Tech,walmart.com,Walmart Inc.,walmart.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-30 12:15
Walmart Labs,walmartlabs.com,Walmart Inc.,corporate.walmart.com,Yes,Walmart Labs (walmartlabs.com) is the technology division/subsidiary of Walmart Inc.,LLM+web search,2026-07-11 13:05
Weights & Biases,wandb.ai,CoreWeave Inc.,coreweave.com,Yes,"CoreWeave completed acquisition of Weights & Biases for $1.7B in May 2025, making it a wholly-owned subsidiary.",LLM+web search (optimized),2026-04-09 20:33
Warp,warp.dev,"DENVER TECHNOLOGIES, INC.",warp.dev,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-09 15:57
WarpBuild,warpbuild.com,"Argonaut HQ, Inc.",warpbuild.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-04-24 08:33
WarpStream,warpstream.com,"Confluent, Inc.",confluent.io,Yes,WarpStream website states it is backed by Confluent and operates as a Global Team Within Confluent.,LLM+web search (optimized),2026-03-13 12:00
Wärtsilä,wartsila.com,Wärtsilä Oyj Abp (Wärtsilä Corporation),wartsila.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Waste Connections,wasteconnections.com,"Waste Connections, Inc.",wasteconnections.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:26
Waste Connections of New York,wasteconnectionsnyc.com,"Waste Connections, Inc.",wasteconnections.com,Yes,"Waste Connections of New York operates as a branded regional subsidiary of Waste Connections, Inc., the publicly traded parent.",LLM+web search,2026-05-15 16:13
Waterford School,waterfordschool.org,Waterford School Holding Corporation,waterfordschool.org,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-16 13:24
washington trust bank,watrust.com,W.T.B. Financial Corporation,watrust.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 10:54
Wave HQ,waveapps.com,"H&R Block, Inc.",hrblock.com,Yes,"H&R Block completed acquisition of Wave Financial (Wave HQ) for $405 million on July 1, 2019.",LLM+web search (optimized),2026-05-15 15:37
Wawibox,wawibox.de,caprimed GmbH,wawibox.de,Yes,"Caprimed GmbH is stated as the legal company behind the Wawibox brand/platform (same domain wawibox.de), i.e. its full owner-operator.",LLM+web search,2026-05-15 15:58
Nipperland Baby,wayfair.com,Wayfair Inc.,wayfair.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-18 10:34
Waymo,waymo.com,Alphabet Inc.,abc.xyz,Yes,Waymo is confirmed Alphabet subsidiary; spun out of Google as independent company in December 2016.,LLM+web search (optimized),2025-09-17 11:51
WDS Technologies,wds-tech.com,Xerox Corporation,xerox.com,Yes,Xerox signed a definitive agreement and completed the acquisition of WDS (WDS Technologies) in July 2012 for about $95 million.,LLM+web search,2026-05-15 16:01
WealthNavi Inc.,wealthnavi.com,MUFG Bank,mufg.jp,Yes,"MUFG Bank's tender offer concluded Jan 2025 with MUFG acquiring a 92.45% stake, making it WealthNavi's controlling shareholder ahead of full subsidiary status.",LLM+web search,2026-05-15 15:57
Metronome,wearemetronome.com,Metronome LLC,wearemetronome.com,Yes,Metronome LLC is the parent company structure of Metronome; both share identical domain (wearemetronome.com) and represent the same entity.,LLM+web search,2026-05-15 15:48
The Weather Company,weathercompany.com,"Francisco Partners Limited Partnership and Affiliates, LLC.",franciscopartners.com,Yes,"Francisco Partners acquired The Weather Company's consumer assets from IBM, with the deal completing in February 2024 per IBM newsroom and Francisco Partners press releases.",LLM+web search,2026-05-19 09:24
Weatherford,weatherford.com,Weatherford International plc - Ireland,weatherford.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Weavr.io,weavr.io,Paystratus Group Limited,weavr.io,Yes,Weavr Ltd and Weavr (Europe) Ltd are wholly owned subsidiaries of Paystratus Group Limited.,LLM+web search,2026-05-15 15:49
WebCatalog,webcatalog.io,"WebCatalog, Inc.",webcatalog.io,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-18 19:55
Weber Shandwick,webershandwick.com,Interpublic Group (IPG),interpublic.com,Yes,Weber Shandwick is a public relations firm operating under IPG's portfolio of specialized communications services.,LLM+web search (optimized),2025-09-12 15:48
字节跳动,webinfra.org,ByteDance Ltd.,bytedance.com,Yes,"字节跳动 is the Chinese name for ByteDance itself, confirming identity.",LLM+web search (optimized),2026-03-23 09:39
Webnet,webnet.fr,Dragon League Webnet,webnet.fr,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:40
webPosto,webposto.com.br,Quality Automação Ltda,webposto.com.br,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:41
WeCP | We Create Problems,wecreateproblems.com,"Invisible Technologies, Inc.",invisibletech.ai,Yes,Invisible Technologies announced its acquisition of WeCP (completed ~March 2026) per press releases from both companies.,LLM+web search,2026-05-15 15:57
Weedmaps,weedmaps.com,"WM Holding Company, LLC.",weedmaps.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-19 11:48
Wego.com,wego.com,Wego Pte Ltd.,wego.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:33
WeWork Inc.,wegotwork.co,Cupar Grimmond LLC (Yardi Systems) formerly had a controlling stake.,yardi.com,Yes,Yardi Systems' subsidiary Cupar Grimmond became 60% majority shareholder of WeWork in 2024.,LLM+web search (optimized),2026-03-23 09:28
Weights,weights.com,OpenAI,openai.com,Yes,OpenAI acquired Weights.gg (voice-cloning startup) in January 2026,LLM+web search (optimized),2026-04-09 20:34
Welcome to the Jungle France,welcometothejungle.com,Welcome to the Jungle (parent company is Otta Technology Ltd.) - Otta Technology Ltd. acquired by Welcome to the Jungle.,welcometothejungle.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:38
Wellabe,wellabe.com,Wellabe Mutual Holding Company,wellabe.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:36
Wellington Management,wellington.com,Wellington Management Group LLP,wellington.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-16 13:21
Wellknown,wellknownlabs.com,UNPROMPTED Pte. Ltd.,wellknownlabs.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:44
Wells Fargo,wellsfargo.com,Wells Fargo & Company,wellsfargo.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-08 21:49
WeMaintain,wemaintain.com,Otis Worldwide Corporation,otis.com,Yes,"Otis Worldwide acquired majority stake in WeMaintain on April 13, 2026, making it a majority-owned subsidiary.",LLM+web search (optimized),2026-03-23 09:23
Wemanity Reply Paris,wemanity.com,Reply S.p.A.,reply.com,Yes,Reply S.p.A. acquired 100% of Wemanity Group in October 2022 for €55 million.,LLM+web search (optimized),2026-05-15 15:35
The Wendy's Company,wendys.com,The Wendy's Company.,wendys.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
WeR1,wer1.ai,WeR1 Corp.,wer1.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:39
NOVOMATIC Netherlands,werkenbijnovomatic.nl,NOVOMATIC AG Group,novomatic.com,Yes,"NOVOMATIC Netherlands (werkenbijnovomatic.nl) is a career-site subsidiary of the Austria-based NOVOMATIC AG Group, a well-documented parent gaming conglomerate.",LLM+web search,2026-05-15 16:16
Wesco,wesco.com,"WESCO International, Inc.",wesco.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Wesfarmers Health,wesfarmershealth.com.au,Wesfarmers Limited,wesfarmers.com.au,Yes,Wesfarmers Health is the health division of Australian conglomerate Wesfarmers Limited (formed after Wesfarmers' acquisition of API/Priceline Pharmacy assets).,LLM+web search,2026-07-06 06:59
Westgate Resorts,westgateresorts.com,"Central Florida Investments, Inc.",westgateresorts.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-26 13:22
The Hospital at Westlake Medical Center,westlakemedical.com,"Westlake Surgical, L.P.",westlakemedical.com,Yes,"The Hospital at Westlake Medical Center operates as Westlake Surgical, L.P., dba The Hospital at Westlake Medical Center; same entity structure and domain.",LLM+web search,2026-05-15 15:50
Westmoreland Mining LLC,westmoreland.com,Westmoreland Coal Company (WCC),westmoreland.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-17 11:49
Westpac,westpac.com.au,Westpac Group}]}'}   }  }  }  }  }  }  }  }  }  }  }  }  }  }  ] }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }...,westpac.com.au,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Alan D Pierce MD,westsideregional.com,"HCA Healthcare, Inc.",hcahealthcare.com,Yes,Westside Regional Medical Center (Alan D Pierce MD) is part of HCA Healthcare's hospital network.,LLM+web search (optimized),2025-07-12 15:57
Wanfeng Auto Holding Group Co. Ltd,wfjt.com,"Wanfeng Auto Holding Group Co., Ltd.",wfjt.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:30
Wgn Tv,wgntv.com,"Nexstar Media Group, Inc.",nexstar.tv,Yes,WGN Radio is part of Nexstar Media Group's Networks Division; Nexstar owns WGN broadcast assets in Chicago.,LLM+web search (optimized),2025-09-18 14:27
